Semivariogram           tail:tb__real1    head:tb__real1     direction  1 
   1        5.385      2.53373    76110        2.89775        2.87808
   2       10.770      3.13274    74240        2.91891        2.87822
   3       16.155      3.72961    72390        2.94091        2.88134
   4       21.541      4.28899    70560        2.96356        2.88720
   5       26.926      4.73622    68750        2.98391        2.89583
   6       32.311      5.14753    66960        3.00320        2.91105
   7       37.696      5.53095    65190        3.02164        2.93256
   8       43.081      5.74468    63440        3.04209        2.95021
   9       48.466      5.96446    61710        3.06633        2.96655
  10       53.852      6.18762    60000        3.09028        2.97922
  11       59.237      6.31788    58310        3.11905        2.98838
  12       64.622      6.43511    56640        3.14765        2.99543
  13       70.007      6.48136    54990        3.17491        2.99737
  14       75.392      6.52885    53360        3.19241        2.99376
  15       80.777      6.64205    51750        3.19889        2.98012
Semivariogram           tail:tb__real1    head:tb__real1     direction  2 
   1        5.385      3.15587    75990        2.88196        2.89023
   2       10.770      4.24921    74000        2.88692        2.91389
   3       16.155      5.28851    72030        2.88386        2.94369
   4       21.541      6.12055    70080        2.87891        2.96501
   5       26.926      6.77701    68150        2.87586        2.97734
   6       32.311      7.29167    66240        2.86333        2.98272
   7       37.696      7.57409    64350        2.84004        2.98499
   8       43.081      7.68018    62480        2.79947        2.98198
   9       48.466      7.55874    60630        2.74346        2.98124
  10       53.852      7.34506    58800        2.68278        2.98075
  11       59.237      7.05902    56990        2.61944        2.98126
  12       64.622      6.80500    55200        2.56762        2.99525
  13       70.007      6.67246    53430        2.52796        3.01737
  14       75.392      6.74930    51680        2.50428        3.04262
  15       80.777      6.91806    49950        2.48622        3.07558
